service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2823937,0,0,0,0,0,0,0,20190802,20190830
2823936,0,0,0,0,0,0,0,20190801,20190829
12773307,0,0,0,0,0,0,0,20190603,20190923
12823936,0,0,0,0,0,0,0,20190802,20190830
12773306,0,0,0,0,0,0,0,20190429,20191021
12773309,0,0,0,0,0,0,0,20190425,20191023
12773308,0,0,0,0,0,0,0,20190430,20191018
2773312,0,0,0,0,0,0,0,20190504,20191019
2773313,0,0,0,0,0,0,0,20190427,20190928
2773314,0,0,0,0,0,0,0,20190531,20190726
2773315,0,0,0,0,0,0,0,20190430,20191018
12823937,0,0,0,0,0,0,0,20190803,20190831
2773316,0,0,0,0,0,0,0,20190621,20190621
2773317,0,0,0,0,0,0,0,20190426,20190927
2773311,0,0,0,0,0,0,0,20190714,20190714
2773310,0,0,0,0,0,0,0,20190701,20190731
12773313,0,0,0,0,0,0,0,20190428,20190929
12773314,0,0,0,0,0,0,0,20190601,20190727
2773309,0,0,0,0,0,0,0,20190424,20191022
12773311,0,0,0,0,0,0,0,20190715,20190715
12773312,0,0,0,0,0,0,0,20190505,20191020
12773310,0,0,0,0,0,0,0,20190702,20190801
2773307,0,0,0,0,0,0,0,20190602,20190922
12773317,0,0,0,0,0,0,0,20190427,20190928
2773308,0,0,0,0,0,0,0,20190429,20191017
12773315,0,0,0,0,0,0,0,20190501,20191019
2773306,0,0,0,0,0,0,0,20190428,20191020
12773316,0,0,0,0,0,0,0,20190622,20190622
