service_id,date,exception_type
2823937,20190802,1
2823937,20190809,1
2823937,20190814,1
2823937,20190823,1
2823937,20190830,1
2823936,20190801,1
2823936,20190805,1
2823936,20190806,1
2823936,20190807,1
2823936,20190808,1
2823936,20190812,1
2823936,20190813,1
2823936,20190819,1
2823936,20190820,1
2823936,20190821,1
2823936,20190822,1
2823936,20190826,1
2823936,20190827,1
2823936,20190828,1
2823936,20190829,1
12773307,20190603,1
12773307,20190611,1
12773307,20190617,1
12773307,20190624,1
12773307,20190701,1
12773307,20190708,1
12773307,20190722,1
12773307,20190729,1
12773307,20190805,1
12773307,20190812,1
12773307,20190816,1
12773307,20190819,1
12773307,20190826,1
12773307,20190902,1
12773307,20190909,1
12773307,20190916,1
12773307,20190923,1
12823936,20190802,1
12823936,20190806,1
12823936,20190807,1
12823936,20190808,1
12823936,20190809,1
12823936,20190813,1
12823936,20190814,1
12823936,20190820,1
12823936,20190821,1
12823936,20190822,1
12823936,20190823,1
12823936,20190827,1
12823936,20190828,1
12823936,20190829,1
12823936,20190830,1
12773306,20190429,1
12773306,20190502,1
12773306,20190506,1
12773306,20190509,1
12773306,20190513,1
12773306,20190520,1
12773306,20190527,1
12773306,20190531,1
12773306,20190930,1
12773306,20191007,1
12773306,20191014,1
12773306,20191021,1
12773309,20190425,1
12773309,20190426,1
12773309,20190503,1
12773309,20190507,1
12773309,20190510,1
12773309,20190514,1
12773309,20190515,1
12773309,20190516,1
12773309,20190517,1
12773309,20190521,1
12773309,20190522,1
12773309,20190523,1
12773309,20190524,1
12773309,20190528,1
12773309,20190529,1
12773309,20190604,1
12773309,20190605,1
12773309,20190606,1
12773309,20190607,1
12773309,20190612,1
12773309,20190613,1
12773309,20190614,1
12773309,20190618,1
12773309,20190619,1
12773309,20190620,1
12773309,20190621,1
12773309,20190625,1
12773309,20190626,1
12773309,20190627,1
12773309,20190628,1
12773309,20190903,1
12773309,20190904,1
12773309,20190905,1
12773309,20190906,1
12773309,20190910,1
12773309,20190911,1
12773309,20190912,1
12773309,20190913,1
12773309,20190917,1
12773309,20190918,1
12773309,20190919,1
12773309,20190920,1
12773309,20190924,1
12773309,20190925,1
12773309,20190926,1
12773309,20190927,1
12773309,20191022,1
12773309,20191023,1
12773308,20190430,1
12773308,20191001,1
12773308,20191002,1
12773308,20191003,1
12773308,20191004,1
12773308,20191008,1
12773308,20191009,1
12773308,20191010,1
12773308,20191011,1
12773308,20191015,1
12773308,20191016,1
12773308,20191017,1
12773308,20191018,1
2773312,20190504,1
2773312,20190511,1
2773312,20190518,1
2773312,20190525,1
2773312,20191005,1
2773312,20191012,1
2773312,20191019,1
2773313,20190427,1
2773313,20190601,1
2773313,20190608,1
2773313,20190609,1
2773313,20190615,1
2773313,20190622,1
2773313,20190629,1
2773313,20190706,1
2773313,20190713,1
2773313,20190720,1
2773313,20190727,1
2773313,20190803,1
2773313,20190810,1
2773313,20190816,1
2773313,20190817,1
2773313,20190824,1
2773313,20190831,1
2773313,20190907,1
2773313,20190914,1
2773313,20190921,1
2773313,20190928,1
2773314,20190531,1
2773314,20190705,1
2773314,20190712,1
2773314,20190719,1
2773314,20190726,1
2773315,20190430,1
2773315,20191004,1
2773315,20191011,1
2773315,20191018,1
12823937,20190803,1
12823937,20190810,1
12823937,20190815,1
12823937,20190824,1
12823937,20190831,1
2773316,20190621,1
2773317,20190426,1
2773317,20190503,1
2773317,20190507,1
2773317,20190510,1
2773317,20190517,1
2773317,20190524,1
2773317,20190529,1
2773317,20190607,1
2773317,20190614,1
2773317,20190628,1
2773317,20190906,1
2773317,20190913,1
2773317,20190920,1
2773317,20190927,1
2773311,20190714,1
2773310,20190701,1
2773310,20190702,1
2773310,20190703,1
2773310,20190704,1
2773310,20190708,1
2773310,20190709,1
2773310,20190710,1
2773310,20190711,1
2773310,20190715,1
2773310,20190716,1
2773310,20190717,1
2773310,20190718,1
2773310,20190722,1
2773310,20190723,1
2773310,20190724,1
2773310,20190725,1
2773310,20190729,1
2773310,20190730,1
2773310,20190731,1
12773313,20190428,1
12773313,20190602,1
12773313,20190609,1
12773313,20190610,1
12773313,20190616,1
12773313,20190623,1
12773313,20190630,1
12773313,20190707,1
12773313,20190714,1
12773313,20190721,1
12773313,20190728,1
12773313,20190804,1
12773313,20190811,1
12773313,20190817,1
12773313,20190818,1
12773313,20190825,1
12773313,20190901,1
12773313,20190908,1
12773313,20190915,1
12773313,20190922,1
12773313,20190929,1
12773314,20190601,1
12773314,20190706,1
12773314,20190713,1
12773314,20190720,1
12773314,20190727,1
2773309,20190424,1
2773309,20190425,1
2773309,20190502,1
2773309,20190506,1
2773309,20190509,1
2773309,20190513,1
2773309,20190514,1
2773309,20190515,1
2773309,20190516,1
2773309,20190520,1
2773309,20190521,1
2773309,20190522,1
2773309,20190523,1
2773309,20190527,1
2773309,20190528,1
2773309,20190603,1
2773309,20190604,1
2773309,20190605,1
2773309,20190606,1
2773309,20190611,1
2773309,20190612,1
2773309,20190613,1
2773309,20190617,1
2773309,20190618,1
2773309,20190619,1
2773309,20190620,1
2773309,20190624,1
2773309,20190625,1
2773309,20190626,1
2773309,20190627,1
2773309,20190902,1
2773309,20190903,1
2773309,20190904,1
2773309,20190905,1
2773309,20190909,1
2773309,20190910,1
2773309,20190911,1
2773309,20190912,1
2773309,20190916,1
2773309,20190917,1
2773309,20190918,1
2773309,20190919,1
2773309,20190923,1
2773309,20190924,1
2773309,20190925,1
2773309,20190926,1
2773309,20191021,1
2773309,20191022,1
12773311,20190715,1
12773312,20190505,1
12773312,20190512,1
12773312,20190519,1
12773312,20190526,1
12773312,20191006,1
12773312,20191013,1
12773312,20191020,1
12773310,20190702,1
12773310,20190703,1
12773310,20190704,1
12773310,20190705,1
12773310,20190709,1
12773310,20190710,1
12773310,20190711,1
12773310,20190712,1
12773310,20190716,1
12773310,20190717,1
12773310,20190718,1
12773310,20190719,1
12773310,20190723,1
12773310,20190724,1
12773310,20190725,1
12773310,20190726,1
12773310,20190730,1
12773310,20190731,1
12773310,20190801,1
2773307,20190602,1
2773307,20190610,1
2773307,20190616,1
2773307,20190623,1
2773307,20190630,1
2773307,20190707,1
2773307,20190721,1
2773307,20190728,1
2773307,20190804,1
2773307,20190811,1
2773307,20190815,1
2773307,20190818,1
2773307,20190825,1
2773307,20190901,1
2773307,20190908,1
2773307,20190915,1
2773307,20190922,1
12773317,20190427,1
12773317,20190504,1
12773317,20190508,1
12773317,20190511,1
12773317,20190518,1
12773317,20190525,1
12773317,20190530,1
12773317,20190608,1
12773317,20190615,1
12773317,20190629,1
12773317,20190907,1
12773317,20190914,1
12773317,20190921,1
12773317,20190928,1
2773308,20190429,1
2773308,20190930,1
2773308,20191001,1
2773308,20191002,1
2773308,20191003,1
2773308,20191007,1
2773308,20191008,1
2773308,20191009,1
2773308,20191010,1
2773308,20191014,1
2773308,20191015,1
2773308,20191016,1
2773308,20191017,1
12773315,20190501,1
12773315,20191005,1
12773315,20191012,1
12773315,20191019,1
2773306,20190428,1
2773306,20190501,1
2773306,20190505,1
2773306,20190508,1
2773306,20190512,1
2773306,20190519,1
2773306,20190526,1
2773306,20190530,1
2773306,20190929,1
2773306,20191006,1
2773306,20191013,1
2773306,20191020,1
12773316,20190622,1
